DATE,LAT,LON,SST
2016-01-01T02:05:09.000Z,6.02,99.98,-32767
2016-01-02T02:30:09.000Z,6.02,99.98,28.82
2016-01-03T03:00:09.000Z,6.02,99.98,-32767
2016-01-04T02:20:09.000Z,6.02,99.98,29.67
2016-01-05T02:55:09.000Z,6.02,99.98,29.53
2016-01-06T02:10:08.000Z,6.02,99.98,30.04
2016-01-07T02:45:08.000Z,6.02,99.98,30.22
2016-01-08T02:05:08.000Z,6.02,99.98,-32767
2016-01-09T02:35:08.000Z,6.02,99.98,29.28
2016-01-10T03:00:08.000Z,6.02,99.98,30.31
2016-01-11T02:25:08.000Z,6.02,99.98,30.51
2016-01-12T03:00:08.000Z,6.02,99.98,30.31
2016-01-13T02:15:09.000Z,6.02,99.98,29.67
2016-01-14T02:50:08.000Z,6.02,99.98,28.19
2016-01-15T02:10:09.000Z,6.02,99.98,-32767
2016-01-16T02:40:09.000Z,6.02,99.98,-32767
2016-01-17T02:05:09.000Z,6.02,99.98,-32767
2016-01-18T02:30:09.000Z,6.02,99.98,-32767
2016-01-19T03:00:09.000Z,6.02,99.98,-32767
2016-01-20T02:20:08.000Z,6.02,99.98,31.01
2016-01-21T02:55:09.000Z,6.02,99.98,31.99
2016-01-22T02:10:08.000Z,6.02,99.98,31.93
2016-01-23T02:45:08.000Z,6.02,99.98,31.21
2016-01-24T02:05:08.000Z,6.02,99.98,-32767
2016-01-25T02:35:08.000Z,6.02,99.98,-32767
2016-01-26T03:00:08.000Z,6.02,99.98,-32767
2016-01-27T02:25:08.000Z,6.02,99.98,29.18
2016-01-28T03:00:08.000Z,6.02,99.98,-32767
2016-01-29T02:15:09.000Z,6.02,99.98,-32767
2016-01-30T02:50:08.000Z,6.02,99.98,29.5
2016-01-31T02:10:09.000Z,6.02,99.98,-32767
2016-02-01T02:40:09.000Z,6.02,99.98,29.7
2016-02-02T02:10:09.000Z,6.02,99.98,-32767
2016-02-03T02:30:08.000Z,6.02,99.98,29.61
2016-02-04T03:00:07.000Z,6.02,99.98,-32767
2016-02-05T02:20:08.000Z,6.02,99.98,-32767
2016-02-06T02:55:08.000Z,6.02,99.98,-32767
2016-02-07T02:10:08.000Z,6.02,99.98,-32767
2016-02-08T02:45:08.000Z,6.02,99.98,-32767
2016-02-09T02:15:08.000Z,6.02,99.98,-32767
2016-02-10T02:35:08.000Z,6.02,99.98,-32767
2016-02-11T03:00:08.000Z,6.02,99.98,-32767
2016-02-12T02:25:09.000Z,6.02,99.98,-32767
2016-02-13T03:00:08.000Z,6.02,99.98,-32767
2016-02-14T02:15:07.000Z,6.02,99.98,-32767
2016-02-15T02:50:09.000Z,6.02,99.98,30.42
2016-02-16T02:10:08.000Z,6.02,99.98,30.23
2016-02-17T02:40:07.000Z,6.02,99.98,30.99
2016-02-18T02:10:08.000Z,6.02,99.98,-32767
2016-02-19T02:30:08.000Z,6.02,99.98,-32767
2016-02-20T03:00:08.000Z,6.02,99.98,-32767
2016-02-21T02:20:08.000Z,6.02,99.98,29.94
2016-02-22T02:55:08.000Z,6.02,99.98,29.74
2016-02-23T02:10:08.000Z,6.02,99.98,30.26
2016-02-24T02:45:08.000Z,6.02,99.98,30.97
2016-02-25T02:15:08.000Z,6.02,99.98,-32767
2016-02-26T02:35:08.000Z,6.02,99.98,29.36
2016-02-27T03:00:08.000Z,6.02,99.98,30.32
2016-02-28T02:25:09.000Z,6.02,99.98,-32767
2016-02-29T03:00:08.000Z,6.02,99.98,-32767
2016-03-01T02:35:08.000Z,6.02,99.98,30.21
2016-03-02T02:50:09.000Z,6.02,99.98,30
2016-03-03T02:25:09.000Z,6.02,99.98,-32767
2016-03-04T02:40:08.000Z,6.02,99.98,30.08
2016-03-05T02:10:08.000Z,6.02,99.98,-32767
2016-03-06T02:55:09.000Z,6.02,99.98,30.66
2016-03-07T03:00:08.000Z,6.02,99.98,-32767
2016-03-08T02:45:09.000Z,6.02,99.98,31.72
2016-03-09T02:55:08.000Z,6.02,99.98,31.38
2016-03-10T02:30:08.000Z,6.02,99.98,30.64
2016-03-11T02:45:08.000Z,6.02,99.98,30.85
2016-03-12T02:20:08.000Z,6.02,99.98,-32767
2016-03-13T03:00:08.000Z,6.02,99.98,29.68
2016-03-14T03:00:08.000Z,6.02,99.98,-32767
2016-03-15T02:50:08.000Z,6.02,99.98,30.05
2016-03-16T03:00:08.000Z,6.02,99.98,-32767
2016-03-17T02:40:08.000Z,6.02,99.98,-32767
2016-03-18T02:50:09.000Z,6.02,99.98,29.34
2016-03-19T02:25:09.000Z,6.02,99.98,30.58
2016-03-20T02:40:08.000Z,6.02,99.98,31.17
2016-03-21T02:15:08.000Z,6.02,99.98,-32767
2016-03-22T03:00:08.000Z,6.02,99.98,-32767
2016-03-23T03:00:08.000Z,6.02,99.98,-32767
2016-03-24T02:45:09.000Z,6.02,99.98,-32767
2016-03-25T02:55:08.000Z,6.02,99.98,30.98
2016-03-26T02:35:08.000Z,6.02,99.98,-32767
2016-03-27T02:45:08.000Z,6.02,99.98,-32767
2016-03-28T02:20:08.000Z,6.02,99.98,-32767
2016-03-29T03:00:08.000Z,6.02,99.98,30.61
2016-03-30T03:00:08.000Z,6.02,99.98,-32767
2016-03-31T02:50:08.000Z,6.02,99.98,30.77
2016-04-01T03:00:08.000Z,6.02,99.98,31.49
2016-04-02T02:40:08.000Z,6.02,99.98,31.45
2016-04-03T02:50:09.000Z,6.02,99.98,-32767
2016-04-04T02:25:09.000Z,6.02,99.98,32.26
2016-04-05T02:40:09.000Z,6.02,99.98,30.97
2016-04-06T02:15:09.000Z,6.02,99.98,-32767
2016-04-07T03:00:08.000Z,6.02,99.98,-32767
2016-04-08T03:00:08.000Z,6.02,99.98,-32767
2016-04-09T02:45:09.000Z,6.02,99.98,32.38
2016-04-10T02:55:08.000Z,6.02,99.98,31.89
2016-04-11T02:35:08.000Z,6.02,99.98,32.54
2016-04-12T02:45:08.000Z,6.02,99.98,-32767
2016-04-13T02:20:08.000Z,6.02,99.98,-32767
2016-04-14T02:35:08.000Z,6.02,99.98,-32767
2016-04-15T03:00:08.000Z,6.02,99.98,-32767
2016-04-16T02:50:08.000Z,6.02,99.98,32.74
2016-04-17T03:00:08.000Z,6.02,99.98,32.99
2016-04-18T02:40:08.000Z,6.02,99.98,-32767
2016-04-19T02:50:09.000Z,6.02,99.98,-32767
2016-04-20T02:25:09.000Z,6.02,99.98,-32767
2016-04-21T02:40:09.000Z,6.02,99.98,32.98
2016-04-22T02:15:09.000Z,6.02,99.98,-32767
2016-04-23T03:00:08.000Z,6.02,99.98,32.56
2016-04-24T03:00:08.000Z,6.02,99.98,-32767
2016-04-25T02:45:09.000Z,6.02,99.98,-32767
2016-04-26T02:55:08.000Z,6.02,99.98,-32767
2016-04-27T02:35:08.000Z,6.02,99.98,-32767
2016-04-28T02:45:08.000Z,6.02,99.98,31.12
2016-04-29T02:20:08.000Z,6.02,99.98,-32767
2016-04-30T03:00:08.000Z,6.02,99.98,-32767
2016-05-01T02:10:08.000Z,6.02,99.98,-32767
2016-05-02T02:50:08.000Z,6.02,99.98,-32767
2016-05-03T03:00:08.000Z,6.02,99.98,-32767
2016-05-04T02:40:08.000Z,6.02,99.98,-32767
2016-05-05T02:50:09.000Z,6.02,99.98,-32767
2016-05-06T02:25:09.000Z,6.02,99.98,-32767
2016-05-07T02:40:09.000Z,6.02,99.98,-32767
2016-05-08T02:15:09.000Z,6.02,99.98,-32767
2016-05-09T03:00:08.000Z,6.02,99.98,-32767
2016-05-10T03:00:08.000Z,6.02,99.98,-32767
2016-05-11T02:45:09.000Z,6.02,99.98,32.9
2016-05-12T02:55:08.000Z,6.02,99.98,-32767
2016-05-13T02:35:08.000Z,6.02,99.98,-32767
2016-05-14T02:45:08.000Z,6.02,99.98,-32767
2016-05-15T02:20:08.000Z,6.02,99.98,-32767
2016-05-16T03:00:08.000Z,6.02,99.98,-32767
2016-05-17T02:10:08.000Z,6.02,99.98,-32767
2016-05-18T02:50:08.000Z,6.02,99.98,32.5
2016-05-19T03:00:08.000Z,6.02,99.98,31.91
2016-05-20T02:40:08.000Z,6.02,99.98,-32767
2016-05-21T02:50:09.000Z,6.02,99.98,-32767
2016-05-22T02:25:09.000Z,6.02,99.98,-32767
2016-05-23T02:40:09.000Z,6.02,99.98,-32767
2016-05-24T02:15:09.000Z,6.02,99.98,-32767
2016-05-25T02:55:08.000Z,6.02,99.98,-32767
2016-05-26T03:00:08.000Z,6.02,99.98,-32767
2016-05-27T02:45:09.000Z,6.02,99.98,-32767
2016-05-28T02:55:08.000Z,6.02,99.98,-32767
2016-05-29T02:30:08.000Z,6.02,99.98,-32767
2016-05-30T02:45:08.000Z,6.02,99.98,-32767
2016-05-31T02:20:08.000Z,6.02,99.98,-32767
2016-06-01T03:00:08.000Z,6.02,99.98,32.49
2016-06-02T02:10:08.000Z,6.02,99.98,-32767
2016-06-03T02:50:08.000Z,6.02,99.98,-32767
2016-06-04T03:00:08.000Z,6.02,99.98,-32767
2016-06-05T02:40:08.000Z,6.02,99.98,33.67
2016-06-06T02:50:09.000Z,6.02,99.98,32.83
2016-06-07T02:25:09.000Z,6.02,99.98,-32767
2016-06-08T02:40:09.000Z,6.02,99.98,-32767
2016-06-09T02:15:09.000Z,6.02,99.98,-32767
2016-06-10T02:55:08.000Z,6.02,99.98,32.18
2016-06-11T03:00:08.000Z,6.02,99.98,30.72
2016-06-12T02:45:09.000Z,6.02,99.98,-32767
2016-06-13T02:55:08.000Z,6.02,99.98,-32767
2016-06-14T02:30:08.000Z,6.02,99.98,-32767
2016-06-15T02:45:08.000Z,6.02,99.98,-32767
2016-06-16T02:20:08.000Z,6.02,99.98,-32767
2016-06-17T03:00:08.000Z,6.02,99.98,-32767
2016-06-18T02:10:08.000Z,6.02,99.98,-32767
2016-06-19T02:50:08.000Z,6.02,99.98,-32767
