"","X.1","X","month","month.1","co2_flux","co2_mixing_ratio","co2_mole_fraction","air_pressure","U_insitu","u.","x_90.","co2_flux_sd","co2_mixing_ratio_sd","co2_mole_fraction_sd","air_pressure_sd","U_insitu_sd","radian_wd_sd","u._sd","x_90._sd","lat_site","lon_site","PP_air","chlor_a","SEA_SURFACE","p_CO2_zhu","delta_p_co2_zhu","p_CO2_zhui","delta_p_co2_zhui","p_CO2_lef","delta_p_p_lef"
"1",1,1,"2016-01-15","2016 01",-0.0495869964820359,397.631949020714,386.338186155952,101059.072544286,0.691736273211813,0.0499624984,436.80120058119,0.154294056312732,12.8719053056529,12.9077050563464,158.590933190368,0.651255554521317,0.436223379784747,0.0319595666288698,2104.21420585934,5.468333,100.2002778,385.324241612259,1.25615384615385,30.0805882352941,399.588397284679,14.2641556724196,527.55881527098,142.234573658721,565.88846217647,180.564220564211
"2",2,2,"2016-02-15","2016 02",-0.0972303600021142,396.46630308551,385.264577923435,100998.291651878,1.03543370016822,0.0594247679194991,1129.19320214669,0.138139566563599,11.9596214764981,11.5809425778447,183.691154321153,0.830934415249071,0.384331884225253,0.0200355538373522,2394.75058044347,5.468333,100.2002778,384.022345958538,1.28,30.14,401.920835999998,17.8984900414604,529.150812,145.128466041462,567.269553999999,183.247208041461
"3",3,3,"2016-03-15","2016 03",-0.0485186537880795,404.194506000276,392.546686374586,100948.39058232,0.718313163820531,0.044896978461326,491.639658782873,0.152771054454069,12.2587123079553,11.4612529140409,176.683129858811,0.596191032842232,0.43852228748951,0.0413556643639368,1003.26246305772,5.468333,100.2002778,391.087650806191,0.881666666666667,30.545,393.141933027776,2.05428222158486,562.134337166666,171.046686360475,576.684224500002,185.596573693811
"4",4,4,"2016-04-15","2016 04",-0.0379449480629371,410.658781688601,397.052075485492,100853.54828342,0.490978419085655,0.0370339464352332,105.637305699482,0.130593299138591,9.48314787406979,9.0878556952721,149.247132271215,0.534313585099627,0.437608693581972,0.0232591444934285,1516.51136901476,5.468333,100.2002778,395.204645112342,0.595,32.1141666666667,440.339633881943,45.134988769601,651.79975571528,256.595110602938,613.161229750003,217.956584637661
"5",5,5,"2016-05-15","2016 05",0.00726814834939759,411.4053207671,397.824928119481,100752.031108936,0.404512670750679,0.0383470172425532,-93.3750027046809,0.112485350650471,12.7516791858292,11.3125185881331,109.049625113013,0.472103251688549,0.429546694036761,0.0291731883631007,1872.37770105836,5.468333,100.2002778,395.575322317337,0.355,32.4366666666667,462.257540944444,66.6822186271074,678.32443652778,282.749114210443,620.658097000002,225.082774682665
"6",6,6,"2016-06-15","2016 06",-0.000699661759259259,409.895417589912,397.026592644298,100765.709713596,0.376445902046657,0.0344474820438596,-75.469298245614,0.130879234734043,15.460721486742,14.452958683566,148.219187208507,0.396334613967018,0.441488582438117,0.0224828153559487,2357.78384035089,5.468333,100.2002778,394.835098771021,0.44,32.378,455.885258039998,61.050159268977,672.080210039999,277.245111268978,619.294325800001,224.45922702898
"7",7,7,"2016-07-15","2016 07",-0.0191281080724638,405.124099498919,392.400610591892,100731.358472432,0.406898282787062,0.038333145227027,-403.949266507027,0.123242384942627,15.3239817805662,13.9718672008917,127.606181772307,0.459857220347211,0.420871049997131,0.0279697088270049,2680.92559895372,5.468333,100.2002778,390.101619248292,0.51,31.2657142857143,413.637773183672,23.5361539353799,609.78406422449,219.682444976198,593.438020857146,203.336401608854
"8",8,8,"2016-08-15","2016 08",-0.004544140875,403.700294168571,390.83597959619,100708.351207619,0.419537172522589,0.0353367935666667,-130.371428571429,0.13838821458298,14.0152834055079,12.4544911320043,131.521560330447,0.479088279211545,0.43697355407915,0.0248670798947961,1980.05599097839,5.468333,100.2002778,388.457410291113,0.48,30.56,397.503776,9.04636570888658,577.047632,188.590221708887,577.032916000001,188.575505708888
"9",9,9,"2016-09-15","2016 09",0.0266411971925926,401.753117887435,389.359434007853,100759.083917277,0.572633544724809,0.0360537506649215,-400.046727105236,0.110207946163281,19.2723024204728,18.0361501708873,152.410552891526,0.594019703901354,0.466805753987869,0.0358827197077317,2506.33661762869,5.468333,100.2002778,387.184800248517,0.74,30.99,402.279970999998,15.0951707514811,588.133934999999,200.949134751482,587.028739,199.843938751483
"10",10,10,"2016-10-15","2016 10",0.00492532810638298,404.108754474545,392.082054926667,100752.563294545,0.559646493624748,0.0338688511333333,-13.3212121212121,0.100654693337168,17.3302376857792,15.5584459503316,166.95560114532,0.573574102338931,0.411920207004414,0.024030618473957,1843.32397926548,5.468333,100.2002778,389.866983031379,0.78,30.008,383.562563839998,-6.3044191913811,542.40484784,152.537864808621,564.201068800001,174.334085768622
