month,month.1,co2_flux,co2_mixing_ratio,co2_mole_fraction,air_pressure,U_insitu,u.,x_90.,co2_flux_sd,co2_mixing_ratio_sd,co2_mole_fraction_sd,air_pressure_sd,U_insitu_sd,radian_wd_sd,u._sd,x_90._sd,lat_site,lon_site,PP_air,SEA_SURFACE,chlor_a,p_CO2_zhu,delta_p_co2_zhu,p_CO2_zhui,delta_p_co2_zhui,p_CO2_lef,delta_p_p_lef,k_theory,k_N2000,k_W2014,k_MG2001,k_WMG1999,k_MG2001_co2_zhu,k_MG2001_co2_zhui,k_MG2001_co2_lef,k_theory_co2_zhu,k_theory_co2_zhui,k_theory_co2_lef,k_WMG1999_co2_zhu,k_WMG1999_co2_zhui,k_WMG1999_co2_lef,k_N2000_co2_zhu,k_N2000_co2_zhui,k_N2000_co2_lef,k_W2014_co2_zhu,k_W2014_co2_zhui,k_W2014_co2_lef
15/1/2016,2016 01,-0.049586996,397.631949,386.3381862,101059.0725,0.691736273,0.049962498,436.8012006,0.154294056,12.87190531,12.90770506,158.5909332,0.651255555,0.43622338,0.031959567,2104.214206,5.468333,100.2002778,385.3242416,30.08058824,1.256153846,399.5883973,14.26415567,527.5588153,142.2345737,565.8884622,180.5642206,29.08005822,0.408222889,0.152541308,4.202209327,0.01189709,0.01767426,0.176238325,0.223731368,0.122309119,1.219601486,1.548262044,5.00E-05,0.000498957,0.000633417,0.001716963,0.017120641,0.021734345,0.00064158,0.006397498,0.008121508
15/2/2016,2016 02,-0.09723036,396.4663031,385.2645779,100998.2917,1.0354337,0.059424768,1129.193202,0.138139567,11.95962148,11.58094258,183.6911543,0.830934415,0.384331884,0.020035554,2394.75058,5.468333,100.2002778,384.022346,30.14,1.28,401.920836,17.89849004,529.150812,145.128466,567.269554,183.247208,34.65375347,0.707886622,0.342272182,4.23398389,0.039958264,0.022345141,0.181183775,0.22877263,0.182887563,1.482929088,1.872428081,0.000210882,0.001709924,0.002159044,0.00373592,0.030292409,0.038248866,0.001806365,0.014646765,0.018493813
15/3/2016,2016 03,-0.048518654,404.194506,392.5466864,100948.3906,0.718313164,0.044896978,491.6396588,0.152771054,12.25871231,11.46125291,176.6831299,0.596191033,0.438522287,0.041355664,1003.262463,5.468333,100.2002778,391.0876508,30.545,0.881666667,393.141933,2.054282222,562.1343372,171.0466864,576.6842245,185.5965737,26.52553504,0.433863271,0.166334262,4.250701687,0.013471261,0.002574769,0.214384208,0.232620551,0.016067258,1.337815784,1.451615527,8.16E-06,0.000679423,0.000737218,0.000262803,0.021881901,0.023743259,0.000100753,0.008389071,0.009102678
15/4/2016,2016 04,-0.037944948,410.6587817,397.0520755,100853.5483,0.490978419,0.037033946,105.6373057,0.130593299,9.483147874,9.087855695,149.2471323,0.534313585,0.437608694,0.023259144,1516.511369,5.468333,100.2002778,395.2046451,32.11416667,0.595,440.3396339,45.13498877,651.7997557,256.5951106,613.1612297,217.9565846,23.00712951,0.276328266,0.080678725,4.40432364,0.004466159,0.058615174,0.333230772,0.283052318,0.306191601,1.740717565,1.478597368,5.94E-05,0.000337909,0.000287026,0.003677529,0.020906974,0.017758767,0.001073717,0.006104146,0.005184973
15/5/2016,2016 05,0.007268148,411.4053208,397.8249281,100752.0311,0.404512671,0.038347017,-93.3750027,0.112485351,12.75167919,11.31251859,109.0496251,0.472103252,0.429546694,0.029173188,1872.377701,5.468333,100.2002778,395.5753223,32.43666667,0.355,462.2575409,66.68221863,678.3244365,282.7491142,620.658097,225.0827747,24.06791615,0.219446729,0.055184262,4.436266438,0.002516866,0.08722584,0.369859154,0.294426828,0.473223201,2.006583518,1.597343238,4.95E-05,0.000209835,0.00016704,0.00431476,0.018295651,0.014564275,0.001085033,0.004600807,0.003662478
15/6/2016,2016 06,-0.000699662,409.8954176,397.0265926,100765.7097,0.376445902,0.034447482,-75.46929825,0.130879235,15.46072149,14.45295868,148.2191872,0.396334614,0.441488582,0.022482815,2357.78384,5.468333,100.2002778,394.8350988,32.378,0.44,455.885258,61.05015927,672.08021,277.2451113,619.2943258,224.459227,21.58028645,0.20093212,0.047725859,4.429669477,0.002025672,0.079739888,0.362120171,0.293174561,0.388473595,1.764162555,1.42827609,3.65E-05,0.000165596,0.000134068,0.003617043,0.01642596,0.013298551,0.000859128,0.003901532,0.003158702
15/7/2016,2016 07,-0.019128108,405.1240995,392.4006106,100731.3585,0.406898283,0.038333145,-403.9492665,0.123242385,15.32398178,13.9718672,127.6061818,0.45985722,0.42087105,0.027969709,2680.925599,5.468333,100.2002778,390.1016192,31.26571429,0.51,413.6377732,23.53615394,609.7840642,219.682445,593.4380209,203.3364016,23.17783653,0.214946627,0.054303375,4.314453419,0.002491296,0.02994186,0.279472214,0.258677358,0.160851787,1.501363131,1.389650304,1.73E-05,0.000161376,0.000149368,0.001491707,0.013923342,0.012887339,0.00037686,0.003517545,0.003255813
15/8/2016,2016 08,-0.004544141,403.7002942,390.8359796,100708.3512,0.419537173,0.035336794,-130.3714286,0.138388215,14.01528341,12.45449113,131.5215603,0.479088279,0.436973554,0.02486708,1980.055991,5.468333,100.2002778,388.4574103,30.56,0.48,397.503776,9.046365709,577.047632,188.5902217,577.032916,188.5755057,20.8873708,0.219350988,0.056761175,4.242318758,0.00268494,0.011316052,0.235906532,0.235888124,0.055715421,1.161503293,1.161412659,7.16E-06,0.000149304,0.000149292,0.000585102,0.012197653,0.012196701,0.000151406,0.003156371,0.003156125
15/9/2016,2016 09,0.026641197,401.7531179,389.359434,100759.0839,0.572633545,0.036053751,-400.0467271,0.110207946,19.27230242,18.03615017,152.4105529,0.594019704,0.466805754,0.03588272,2506.336618,5.468333,100.2002778,387.1848002,30.99,0.74,402.279971,15.09517075,588.133935,200.9491348,587.028739,199.8439388,21.6077096,0.326626013,0.106842217,4.29014101,0.006898146,0.019095327,0.2541998,0.252801732,0.096175458,1.280301849,1.273260343,3.07E-05,0.00040873,0.000406482,0.001453805,0.019353272,0.019246832,0.000475552,0.006330624,0.006295806
15/10/2016,2016 10,0.004925328,404.1087545,392.0820549,100752.5633,0.559646494,0.033868851,-13.32121212,0.100654693,17.33023769,15.55844595,166.9556011,0.573574102,0.411920207,0.024030618,1843.323979,5.468333,100.2002778,389.866983,30.008,0.78,383.5625638,-6.304419191,542.4048478,152.5378648,564.2010688,174.3340858,19.6668702,0.309825044,0.09967253,4.189743938,0.006289295,-0.007788433,0.188444142,0.215371031,-0.036559297,0.884566346,1.010962526,-1.17E-05,0.000282877,0.000323297,-0.000575942,0.013935151,0.015926353,-0.000185284,0.00448302,0.005123601
